cod_prof,nome,area_pesquisa
1,Javam Machado,Banco de Dados
2,José Maria,Banco de Dados
3,Ângelo Brayner,Banco de Dados
4,Vânia Vidal,Banco de Dados
5,João Paulo Pordeus,Inteligência Artificial
6,César Lincoln,Inteligência Artificial
7,Yuri Lenon,Computação Gráfica
8,Creto Vidal,Computação Gráfica
9,Joaquim Bento,Computação Gráfica
10,Ana Karolinna Maia,Algoritmos e Otimização
11,Cláudia Linhares,Algoritmos e Otimização
12,Victor Campos,Algoritmos e Otimização
13,Rudini Menezes,Algoritmos e Otimização
14,Emanuel Bezerra,Redes de Computadores
15,José Neuman,Redes de Computadores
16,Rossana Maria,Engenharia de Software
17,Lincoln Souza,Engenharia de Software
18,Emanuele Marques,Visualização Analítica de Dados
19,João Fernando,Lógica
